Date,Buy or sell signal,Profit,95% VAR,99% VAR
09/04/2015,2,39680.008,3027.107632,4202.230825
10/04/2015,-2,-3119.994,2509.553641,3654.811168
24/04/2015,2,20.004,2819.114868,3914.409129
29/04/2015,-2,-4240.006,2345.686558,3417.655335
07/05/2015,2,-7100.006,2976.05713,4113.302314
15/06/2015,-2,240.006,2525.475832,3647.041122
17/06/2015,2,-1360,2838.650459,3969.977709
19/06/2015,-2,-2120.01,2483.650903,3576.251141
09/10/2015,2,34059.998,2678.540716,3670.296005
31/12/2015,-2,25119.996,3475.26685,4860.380825
02/03/2016,2,20039.994,2832.069751,4044.585928
13/05/2016,-2,11820.008,2638.524532,3732.16465
16/05/2016,2,-4259.994,2779.625191,3928.27936
25/05/2016,-2,-7400.01,2664.922744,3768.456921
26/05/2016,2,-5520.004,2739.980422,3890.003938
01/06/2016,-2,-3319.992,2811.195179,3947.639216
15/06/2016,2,-3399.994,2558.821779,3640.229019
16/06/2016,-2,-240.004,2785.898919,3857.058018
21/06/2016,2,-700.012,2491.66721,3613.367056
24/06/2016,-2,-4660.004,2709.036437,3771.336001
30/06/2016,2,-6479.996,2437.055392,3554.399744
27/10/2016,-2,45699.996,3258.64062,4470.098736
05/01/2017,2,16019.988,2511.152163,3537.437027
23/10/2017,-2,157520.004,6484.231806,8905.327097
27/10/2017,2,-6039.978,4352.281437,6348.049695
29/11/2017,-2,7520.02,5223.091207,7205.838652
02/01/2018,2,-7479.98,4873.828522,7048.94068
05/02/2018,-2,-6239.99,5714.485628,8011.506706
06/02/2018,2,-9279.998,5635.56839,8122.892132
07/02/2018,-2,-9739.99,5755.215957,8208.283021
14/02/2018,2,-12919.984,6052.533442,8611.384105
01/03/2018,-2,-9539.98,5958.033999,8420.540421
06/03/2018,2,-10759.98,6126.293481,8650.978007
22/03/2018,-2,-5440.002,6427.680072,9100.512044
26/03/2018,2,-11700.012,6533.69519,9280.331256
27/03/2018,-2,-17220.002,6489.031734,9180.266364
04/05/2018,2,-14000,6893.971789,9780.668892
25/06/2018,-2,4720.002,6625.042993,9368.226467
25/07/2018,2,-13459.992,6274.240104,8969.793325
26/07/2018,-2,-7600.006,6457.678229,9109.886277
15/11/2018,2,75919.984,6477.220165,9109.224133
19/11/2018,-2,-13380.004,5705.170147,8188.359785
26/11/2018,2,-12959.992,6635.566413,9338.706388
14/12/2018,-2,-14019.99,5689.854314,8136.177817
08/01/2019,2,4420.014,6604.516501,9294.288237
07/05/2019,-2,69280,6269.801015,8752.167166
27/06/2019,2,21059.998,5023.028818,7069.790528
28/06/2019,-2,-2899.994,4973.42691,6987.350923
01/07/2019,2,-11200.012,5038.240173,7152.864072
10/07/2019,-2,-16240.02,5026.486334,7097.898497
12/07/2019,2,-4280.028,4954.778683,7041.599858
01/08/2019,-2,-6840.026,4647.781798,6611.085668
16/08/2019,2,-17900.024,5556.944508,7844.583648
23/08/2019,-2,-20120.026,5315.600352,7524.373352
29/08/2019,2,-16540.01,5772.604566,8107.70383
24/09/2019,-2,-2519.99,5510.604341,7869.577938
25/09/2019,2,-10220.002,5938.588545,8373.7975
27/09/2019,-2,-21360.016,5470.328368,7794.904387
11/10/2019,2,-13920.012,5363.400018,7645.289337
18/10/2019,-2,-7619.994,5794.173441,8083.835658
21/10/2019,2,-8779.998,5452.030984,7823.217167
22/10/2019,-2,-7260.01,5898.76553,8239.735992
25/10/2019,2,-8839.998,5437.463415,7864.190955
27/01/2020,-2,62320.006,6208.022778,8602.84571
28/01/2020,2,-9519.99,5593.150636,8083.642429
31/01/2020,-2,-7280,6272.560998,8716.056342
03/02/2020,2,-13020.02,5682.844202,8267.792764
